WEEK,COUNT,DEATHDT,MONTH,YRSEAS,JAN1,FLUA,FLUB,RSVPOS,PCTA,PCTB,WEEKOFYRS
363,3750,1999-08-15,8,1999,0,10,0,5,0.0348,0,50
364,3869,1999-08-22,8,1999,0,2,0,2,0.006,0,51
365,3834,1999-08-29,8,1999,0,1,0,3,0.0029,0,52
366,3736,1999-09-05,9,2000,0,3,0,4,0.0098,0,1
367,3702,1999-09-12,9,2000,0,4,0,10,0.0091,0,2
368,3923,1999-09-19,9,2000,0,6,0,18,0.0163,0,3
369,3943,1999-09-26,9,2000,0,7,0,11,0.013,0,4
370,4091,1999-10-03,10,2000,0,1,0,14,0.0015,0,5
371,4027,1999-10-10,10,2000,0,15,1,12,0.02,0.0013,6
372,4086,1999-10-17,10,2000,0,28,0,22,0.0364,0,7
373,4137,1999-10-24,10,2000,0,15,0,22,0.0195,0,8
374,4175,1999-10-31,10,2000,0,25,0,22,0.0299,0,9
375,4088,1999-11-07,11,2000,0,43,0,38,0.0512,0,10
376,4148,1999-11-14,11,2000,0,81,3,52,0.0699,0.0026,11
377,4149,1999-11-21,11,2000,0,119,1,73,0.0865,0.0007,12
378,4031,1999-11-28,11,2000,0,201,5,77,0.129,0.0032,13
379,4301,1999-12-05,12,2000,0,322,1,99,0.1486,0.0005,14
380,4507,1999-12-12,12,2000,0,547,1,151,0.2082,0.0004,15
381,4646,1999-12-19,12,2000,0,662,2,171,0.2212,0.0007,16
382,5347,1999-12-26,12,2000,0,703,2,222,0.2488,0.0007,17
383,5479,2000-01-02,1,2000,1,817,0,209,0.1961,0,18
384,5320,2000-01-09,1,2000,0,949,0,196,0.2233,0,19
385,5008,2000-01-16,1,2000,0,771,0,198,0.252,0,20
386,4613,2000-01-23,1,2000,0,462,1,188,0.187,0.0004,21
387,4509,2000-01-30,1,2000,0,327,0,245,0.1584,0,22
388,4392,2000-02-06,2,2000,0,228,2,248,0.1212,0.0011,23
389,4356,2000-02-13,2,2000,0,181,2,295,0.099,0.0011,24
390,4247,2000-02-20,2,2000,0,124,2,268,0.0765,0.0012,25
391,4111,2000-02-27,2,2000,0,93,5,333,0.0595,0.0032,26
392,4216,2000-03-05,3,2000,0,78,2,321,0.0569,0.0015,27
393,4194,2000-03-12,3,2000,0,48,5,239,0.0411,0.0043,28
394,4090,2000-03-19,3,2000,0,38,4,216,0.0332,0.0035,29
395,4096,2000-03-26,3,2000,0,29,4,178,0.0295,0.0041,30
396,3999,2000-04-02,4,2000,0,18,11,152,0.0178,0.0109,31
397,4041,2000-04-09,4,2000,0,11,11,110,0.0122,0.0122,32
398,4031,2000-04-16,4,2000,0,6,2,87,0.0084,0.0028,33
399,4015,2000-04-23,4,2000,0,8,7,79,0.012,0.0105,34
400,4297,2000-04-30,4,2000,0,9,6,94,0.0138,0.0092,35
401,3952,2000-05-07,5,2000,0,5,7,47,0.0106,0.0149,36
